medicamentosap,textobrevemedicamento,med_std,esencial,esencial_item,esencial_desc
5000564,"AGUA MINERAL SIN GAS (PACIENTE)","AGUA MINERAL SIN GAS (PACIENTE)","No esencial","",""
5000565,"DESAYUNO Y MERIENDA (FUNCIONARIOS)","DESAYUNO Y MERIENDA (FUNCIONARIOS)","No esencial","",""
5000566,"ALMUERZO (FUNCIONARIOS)","ALMUERZO (FUNCIONARIOS)","No esencial","",""
5000567,"CENA (FUNCIONARIOS)","CENA (FUNCIONARIOS)","No esencial","",""
5000568,"COLACIONES ALIMENTARIAS (FUNCIONARIOS)","COLACIONES ALIMENTARIAS (FUNCIONARIOS)","No esencial","",""
5000569,"EDIF. ANEXO","EDIF. ANEXO","No esencial","",""
5000570,"EDIF. CAJA CENTRAL","EDIF. CAJA CENTRAL","No esencial","",""
5000571,"DPTO. TRANSPORTE","DPTO. TRANSPORTE","No esencial","",""
5000572,"ARCHIVO DE LA SECRETARIA GENERAL","ARCHIVO DE LA SECRETARIA GENERAL","No esencial","",""
5000573,"DPTO. CENTRAL DE AMBULANCIA","DPTO. CENTRAL DE AMBULANCIA","No esencial","",""
5000574,"EDIF. DIRECCION APORTE OBRERO PATRONAL","EDIF. DIRECCION APORTE OBRERO PATRONAL","No esencial","",""
5000575,"DPTO DE SERV DE APORTE OBRERO PATRONAL","DPTO DE SERV DE APORTE OBRERO PATRONAL","No esencial","",""
5000576,"EDIFICIO BOQUERON","EDIFICIO BOQUERON","No esencial","",""
5000577,"EDIF. RENTA PALMA","EDIF. RENTA PALMA","No esencial","",""
5000578,"CEDEESS","CEDEESS","No esencial","",""
5000579,"OFICINA CALL CENTER","OFICINA CALL CENTER","No esencial","",""
5000580,"DPTO DE GESTION MEDICA LABORAL","DPTO DE GESTION MEDICA LABORAL","No esencial","",""
5000581,"PROGRAMA DE SALUD","PROGRAMA DE SALUD","No esencial","",""
5000582,"MEDICASA","MEDICASA","No esencial","",""
5000583,"DIRECCION AREA CENTRAL","DIRECCION AREA CENTRAL","No esencial","",""
5000584,"DPTO DE ADM DE SUMINISTROS MEDICOS","DPTO DE ADM DE SUMINISTROS MEDICOS","No esencial","",""
5000585,"DIRECCION DE ENFERMARIA, AREA DOCENCIA","DIRECCION DE ENFERMARIA, AREA DOCENCIA","No esencial","",""
5000586,"DRT - DPV - DAM","DRT - DPV - DAM","No esencial","",""
5000587,"DLP - DCCPM","DLP - DCCPM","No esencial","",""
5000588,"DEPOSITO 1,2,3 DPTO. PATRIMONIO","DEPOSITO 1,2,3 DPTO. PATRIMONIO","No esencial","",""
5000589,"HOGAR TALLER CAJA CENTRAL","HOGAR TALLER CAJA CENTRAL","No esencial","",""
5000590,"HOSPITAL GERIATRICO","HOSPITAL GERIATRICO","No esencial","",""
5000591,"HOSPITAL DE LUQUE","HOSPITAL DE LUQUE","No esencial","",""
5000592,"CLINICA PERIFERICA CAMPO VIA CAPIATA","CLINICA PERIFERICA CAMPO VIA CAPIATA","No esencial","",""
5000593,"CLINICA PERIFERICA BOQUERON","CLINICA PERIFERICA BOQUERON","No esencial","",""
5000594,"CLÍNICA PERIFERICA 12 DE JUNIO","CLINICA PERIFERICA 12 DE JUNIO","No esencial","",""
5000595,"CLINICA PERIFERICA NANAWA","CLINICA PERIFERICA NANAWA","No esencial","",""
5000596,"CLÍNICA PERIFERICA ISLA POI","CLINICA PERIFERICA ISLA POI","No esencial","",""
5000597,"CLÍNICA PERIFERICA YRENDAGUE","CLINICA PERIFERICA YRENDAGUE","No esencial","",""
5000598,"HEQI","HEQI","No esencial","",""
5000599,"CENTRO ODONTOLOGICO","CENTRO ODONTOLOGICO","No esencial","",""
5000600,"CLINICA DE PREVENCION - D.M.P","CLINICA DE PREVENCION - D.M.P","No esencial","",""
5000601,"CRMNEP","CRMNEP","No esencial","",""
5000602,"HOSPITAL CENTRAL","HOSPITAL CENTRAL","No esencial","",""
5000603,"UNIDAD DE TERAPIA INTENSIVA","UNIDAD DE TERAPIA INTENSIVA","No esencial","",""
5000604,"SECDHC","SECDHC","No esencial","",""
5000605,"CENTRO DE ATENCION AMBULATORIA H.C.","CENTRO DE ATENCION AMBULATORIA H.C.","No esencial","",""
5000606,"C.E.S.I.","C.E.S.I.","No esencial","",""
5000607,"UNIDAD DE MEDICINA TRANSFUCIONAL","UNIDAD DE MEDICINA TRANSFUCIONAL","No esencial","",""
5000608,"SERVICIO DE QUIROFANO CENTRAL","SERVICIO DE QUIROFANO CENTRAL","No esencial","",""
5000609,"CPSTC","CPSTC","No esencial","",""
5000610,"SERVICIO DE NEFROLOGIA","SERVICIO DE NEFROLOGIA","No esencial","",""
5000611,"HISOLAB IPS","HISOLAB IPS","No esencial","",""
5000612,"PARQUE DE LA SALUD","PARQUE DE LA SALUD","No esencial","",""
5000613,"PARQUE URBANO","PARQUE URBANO","No esencial","",""
5000614,"RESERVA TECNICA AREA CENTRAL","RESERVA TECNICA AREA CENTRAL","No esencial","",""
5000615,"SERV LIMP HOSP REG PILAR","SERV LIMP HOSP REG PILAR","No esencial","",""
5000616,"SERV LIMP OF REG ADM PILAR","SERV LIMP OF REG ADM PILAR","No esencial","",""
5000617,"SERV LIMP HOSP REG CORONEL OVIEDO","SERV LIMP HOSP REG CORONEL OVIEDO","No esencial","",""
5000618,"SERV LIMP OF REG ADM CORONEL OVIEDO","SERV LIMP OF REG ADM CORONEL OVIEDO","No esencial","",""
5000619,"SERV LIMP HOSP REG VILLARRICA","SERV LIMP HOSP REG VILLARRICA","No esencial","",""
5000620,"SERV LIMP OF REG ADM VILLARRICA","SERV LIMP OF REG ADM VILLARRICA","No esencial","",""
5000621,"SERV LIMP HOSP REG CIUDAD DEL ESTE","SERV LIMP HOSP REG CIUDAD DEL ESTE","No esencial","",""
5000622,"SERV LIMP OF REG ADM CIUDAD DEL ESTE","SERV LIMP OF REG ADM CIUDAD DEL ESTE","No esencial","",""
5000623,"SERV LIMP HOSP REG AYOLAS","SERV LIMP HOSP REG AYOLAS","No esencial","",""
5000624,"SERV LIMP OF REG ADM AYOLAS","SERV LIMP OF REG ADM AYOLAS","No esencial","",""
5000625,"SERV LIMP HOSP REG PEDRO J CABALLERO","SERV LIMP HOSP REG PEDRO J CABALLERO","No esencial","",""
5000626,"SERV LIMP OF REG ADM PEDRO J CABALLERO","SERV LIMP OF REG ADM PEDRO J CABALLERO","No esencial","",""
5000627,"SERV LIMP HOSP REG SAN PEDRO DEL YCUAMAN","SERV LIMP HOSP REG SAN PEDRO DEL YCUAMAN","No esencial","",""
5000628,"SERV LIMP OF REG ADM SAN PEDRO D YCUAMAN","SERV LIMP OF REG ADM SAN PEDRO D YCUAMAN","No esencial","",""
5000629,"SERV LIMP HOSP REG ENCARNACION","SERV LIMP HOSP REG ENCARNACION","No esencial","",""
5000630,"SERV LIMP OF REG ADM ENCARNACION","SERV LIMP OF REG ADM ENCARNACION","No esencial","",""
5000631,"SERV LIMP HOSP REG BENJAMIN ACEVAL","SERV LIMP HOSP REG BENJAMIN ACEVAL","No esencial","",""
5000632,"SERV LIMP U.S. HERNANDARIAS","SERV LIMP U.S. HERNANDARIAS","No esencial","",""
5000633,"SERV LIMP OF REG ADM HERNANDARIAS","SERV LIMP OF REG ADM HERNANDARIAS","No esencial","",""
5000634,"SERV LIMP U.S. HOHENAU","SERV LIMP U.S. HOHENAU","No esencial","",""
5000635,"SERV LIMP OF REG ADM HOHENAU","SERV LIMP OF REG ADM HOHENAU","No esencial","",""
5000636,"SERV LIMP U.S. SAN JUAN BAUTISTA MISION","SERV LIMP U.S. SAN JUAN BAUTISTA MISION","No esencial","",""
5000637,"SERV LIMP OF REG ADM SAN JUAN B MISIONES","SERV LIMP OF REG ADM SAN JUAN B MISIONES","No esencial","",""
5000638,"SERV LIMP U.S. SAN IGNACIO MISIONES","SERV LIMP U.S. SAN IGNACIO MISIONES","No esencial","",""
5000639,"SERV LIMP OF REG ADM SAN IGNACIO MISIONE","SERV LIMP OF REG ADM SAN IGNACIO MISIONE","No esencial","",""
5000640,"SERV LIMP U.S. CAAZAPA","SERV LIMP U.S. CAAZAPA","No esencial","",""
5000641,"SERV LIMP OF REG ADM CAAZAPA","SERV LIMP OF REG ADM CAAZAPA","No esencial","",""
5000642,"SERV LIMP U.S. CAAGUAZU","SERV LIMP U.S. CAAGUAZU","No esencial","",""
5000643,"SERV LIMP OF REG ADM CAAGUAZU","SERV LIMP OF REG ADM CAAGUAZU","No esencial","",""
5000644,"SERV LIMP U.S. CAACUPE","SERV LIMP U.S. CAACUPE","No esencial","",""
5000645,"SERV LIMP OF REG ADM CAACUPE","SERV LIMP OF REG ADM CAACUPE","No esencial","",""
5000646,"SERV LIMP U.S. SANTA RITA","SERV LIMP U.S. SANTA RITA","No esencial","",""
5000647,"SERV LIMP OF REG ADM SANTA RITA","SERV LIMP OF REG ADM SANTA RITA","No esencial","",""
5000648,"SERV LIMP U.S. SAN ESTANISLAO","SERV LIMP U.S. SAN ESTANISLAO","No esencial","",""
5000649,"SERV LIMP OF REG ADM SAN ESTANISLAO","SERV LIMP OF REG ADM SAN ESTANISLAO","No esencial","",""
5000650,"SERV LIMP U.S. CURUGUATY","SERV LIMP U.S. CURUGUATY","No esencial","",""
5000651,"SERV LIMP OF REG ADM CURUGUATY","SERV LIMP OF REG ADM CURUGUATY","No esencial","",""
5000652,"SERV LIMP U.S. PUERTO ROSARIO","SERV LIMP U.S. PUERTO ROSARIO","No esencial","",""
5000653,"SERV LIMP OF REG ADM PUERTO ROSARIO","SERV LIMP OF REG ADM PUERTO ROSARIO","No esencial","",""
5000654,"SERV LIMP U.S. CAPITAN BADO","SERV LIMP U.S. CAPITAN BADO","No esencial","",""
5000655,"SERV LIMP OF REG ADM CAPITAN BADO","SERV LIMP OF REG ADM CAPITAN BADO","No esencial","",""
5000656,"SERV LIMP U.S. PARAGUARI","SERV LIMP U.S. PARAGUARI","No esencial","",""
5000657,"SERV LIMP U.S. VILLETA","SERV LIMP U.S. VILLETA","No esencial","",""
5000658,"SERV LIMP U.S. YPACARAI","SERV LIMP U.S. YPACARAI","No esencial","",""
5000659,"SERV LIMP U.S. TEBICUARY","SERV LIMP U.S. TEBICUARY","No esencial","",""
5000660,"SERV LIMP U.S. SAN ANTONIO","SERV LIMP U.S. SAN ANTONIO","No esencial","",""
5000661,"SERV LIMP U.S. FRAM","SERV LIMP U.S. FRAM","No esencial","",""
5000662,"SERV LIMP U.S. COLONIA INDEPENDENCIA","SERV LIMP U.S. COLONIA INDEPENDENCIA","No esencial","",""
5000663,"SERV LIMP U.S. ITURBE","SERV LIMP U.S. ITURBE","No esencial","",""
5000664,"SERV LIMP U.S. PRESIDENTE FRANCO","SERV LIMP U.S. PRESIDENTE FRANCO","No esencial","",""
5000665,"SERV LIMP U.S. HORQUETA","SERV LIMP U.S. HORQUETA","No esencial","",""
5000666,"SERV LIMP P.S. SANTA ROSA MISIONES","SERV LIMP P.S. SANTA ROSA MISIONES","No esencial","",""
5000667,"SERV LIMP P.S. NATALIO","SERV LIMP P.S. NATALIO","No esencial","",""
5000668,"SERV LIMP P.S. CORONEL BOGADO","SERV LIMP P.S. CORONEL BOGADO","No esencial","",""
5000669,"SERV LIMP P.S. VILLA HAYES","SERV LIMP P.S. VILLA HAYES","No esencial","",""
5000670,"SERV LIMP P.S. GUARAMBARE","SERV LIMP P.S. GUARAMBARE","No esencial","",""
5000671,"SERV LIMP P.S. PIQUETE CUE","SERV LIMP P.S. PIQUETE CUE","No esencial","",""
5000672,"SERV LIMP P.S. ARROYOS Y ESTEROS","SERV LIMP P.S. ARROYOS Y ESTEROS","No esencial","",""
5000673,"SERV LIMP P.S. CARAPEGUA","SERV LIMP P.S. CARAPEGUA","No esencial","",""
5000674,"SERV LIMP OF REG ADM CARAPEGUA","SERV LIMP OF REG ADM CARAPEGUA","No esencial","",""
5000675,"SERV LIMP P.S. ITAUGUA","SERV LIMP P.S. ITAUGUA","No esencial","",""
5000676,"SERV LIMP P.S. SAN BERNARDINO","SERV LIMP P.S. SAN BERNARDINO","No esencial","",""
5000677,"SERV LIMP P.S. TOBATI","SERV LIMP P.S. TOBATI","No esencial","",""
5000678,"SERV LIMP P.S. LA COLMENA","SERV LIMP P.S. LA COLMENA","No esencial","",""
5000679,"SERV LIMP P.S. ISLA PUCU","SERV LIMP P.S. ISLA PUCU","No esencial","",""
5000680,"SERV LIMP P.S. PIRIBEBUY","SERV LIMP P.S. PIRIBEBUY","No esencial","",""
5000681,"SERV LIMP P.S. ACAHAY","SERV LIMP P.S. ACAHAY","No esencial","",""
5000682,"SERV LIMP P.S. EUSEBIO AYALA","SERV LIMP P.S. EUSEBIO AYALA","No esencial","",""
5000683,"SERV LIMP P.S. QUIINDY","SERV LIMP P.S. QUIINDY","No esencial","",""
5000684,"SERV LIMP P.S. CARAGUATAY","SERV LIMP P.S. CARAGUATAY","No esencial","",""
5000685,"SERV LIMP P.S. SAN JOSE DE LOS ARROYOS","SERV LIMP P.S. SAN JOSE DE LOS ARROYOS","No esencial","",""
5000686,"SERV LIMP P.S. MINGA GUAZU","SERV LIMP P.S. MINGA GUAZU","No esencial","",""
5000687,"SERV LIMP P.S. YUTY","SERV LIMP P.S. YUTY","No esencial","",""
5000688,"SERV LIMP P.S. SAN JUAN NEPOMUCENO","SERV LIMP P.S. SAN JUAN NEPOMUCENO","No esencial","",""
5000689,"SERV LIMP P.S. BUENA VISTA","SERV LIMP P.S. BUENA VISTA","No esencial","",""
5000690,"SERV LIMP P.S. PASO YOBAI","SERV LIMP P.S. PASO YOBAI","No esencial","",""
5000691,"SERV LIMP P.S. FULGENCIO YEGROS","SERV LIMP P.S. FULGENCIO YEGROS","No esencial","",""
5000692,"SERV LIMP CREAM","SERV LIMP CREAM","No esencial","",""
5000693,"SERV LIMP H.R. CONCEPCION","SERV LIMP H.R. CONCEPCION","No esencial","",""
5000694,"SERV LIMP OF REG ADM CONCEPCION","SERV LIMP OF REG ADM CONCEPCION","No esencial","",""
5000695,"SERV LIMP U.S. VALLEMI","SERV LIMP U.S. VALLEMI","No esencial","",""
5000696,"SERV LIMP U.S. PUERTO CASADO","SERV LIMP U.S. PUERTO CASADO","No esencial","",""
5000697,"SERV LIMP U.S. PUENTE KYJHA","SERV LIMP U.S. PUENTE KYJHA","No esencial","",""
5000698,"SERV LIMP P.S. SANTA MARIA FE","SERV LIMP P.S. SANTA MARIA FE","No esencial","",""
5000699,"SERV LIMP P.S. MARIA AUXILIADORA","SERV LIMP P.S. MARIA AUXILIADORA","No esencial","",""
5000700,"SERV LIMP P.S. ITACURUBI DEL ROSARIO","SERV LIMP P.S. ITACURUBI DEL ROSARIO","No esencial","",""
5000701,"SERV LIMP P.S. PUERTO ANTEQUERA","SERV LIMP P.S. PUERTO ANTEQUERA","No esencial","",""
5000702,"SERV LIMP P.S. YHU","SERV LIMP P.S. YHU","No esencial","",""
5000703,"SERV LIMP P.S. PUERTO PINASCO","SERV LIMP P.S. PUERTO PINASCO","No esencial","",""
5000704,"SERV LIMP P.S. SANTA ROSA DEL AGUARAY","SERV LIMP P.S. SANTA ROSA DEL AGUARAY","No esencial","",""
5000705,"SERV LIMP P.S. BELLA VISTA NORTE","SERV LIMP P.S. BELLA VISTA NORTE","No esencial","",""
5000706,"SERV LIMP P.S. ITAKYRY","SERV LIMP P.S. ITAKYRY","No esencial","",""
5000707,"SERV LIMP P.S. SALTO DEL GUAIRA","SERV LIMP P.S. SALTO DEL GUAIRA","No esencial","",""
5000708,"SERV LIMP OF REG ADM SALTO DEL GUAIRA","SERV LIMP OF REG ADM SALTO DEL GUAIRA","No esencial","",""
5000709,"SERV LIMP U.S. BAIHA NEGRA","SERV LIMP U.S. BAIHA NEGRA","No esencial","",""
5000710,"SERV LIMP OF REG ADM FILADELFIA","SERV LIMP OF REG ADM FILADELFIA","No esencial","",""
5000711,"SERV LIMP U.B.A.S. ITA","SERV LIMP U.B.A.S. ITA","No esencial","",""
5000712,"RESERVA TECNICA DEL AREA INTERIOR","RESERVA TECNICA DEL AREA INTERIOR","No esencial","",""
5000713,"LOC DE INMUEBLE P/ US QUIINDY","LOC DE INMUEBLE P/ US QUIINDY","No esencial","",""
5000714,"LOC DE INMUEBLE P/ P.S. MA. AUXILIADORA","LOC DE INMUEBLE P/ P.S. MA. AUXILIADORA","No esencial","",""
5000715,"LOC DE INMUEBLE P/ PS PUENTE KYHA","LOC DE INMUEBLE P/ PS PUENTE KYHA","No esencial","",""
5000716,"LOC DE INMUEBLE P/ PS ITACURUBI DEL ROSA","LOC DE INMUEBLE P/ PS ITACURUBI DEL ROSA","No esencial","",""
5000717,"LOC DE INMUEBLE P/ PS JUAN M. FRUTOS","LOC DE INMUEBLE P/ PS JUAN M. FRUTOS","No esencial","",""
5000718,"LOC DE INMUEBLE P/ PS CARAPEGUA DEL IPS","LOC DE INMUEBLE P/ PS CARAPEGUA DEL IPS","No esencial","",""
5000719,"LOC DE INMUEBLE P/ PS PUERTO ANTEQUERA","LOC DE INMUEBLE P/ PS PUERTO ANTEQUERA","No esencial","",""
5000720,"LOC DE INMUEBLE P/ PS YUTY","LOC DE INMUEBLE P/ PS YUTY","No esencial","",""
5000721,"LOC DE INMUEBLE P/ PS LA COLMENA","LOC DE INMUEBLE P/ PS LA COLMENA","No esencial","",""
5000722,"LOC DE INMUEBLE P/ PS TOBATI","LOC DE INMUEBLE P/ PS TOBATI","No esencial","",""
5000723,"LOC DE INMUEBLE P/ PS FULGENCIO YEGROS","LOC DE INMUEBLE P/ PS FULGENCIO YEGROS","No esencial","",""
5000724,"LOC DE INMUEBLE P/ PS SAN JUAN NEPOMUCEN","LOC DE INMUEBLE P/ PS SAN JUAN NEPOMUCEN","No esencial","",""
5000725,"LOC DE INMUEBLE P/ PS SAN JOSE ARROYOS","LOC DE INMUEBLE P/ PS SAN JOSE ARROYOS","No esencial","",""
5000726,"LOC DE INMUEBLE P/ PS MINGA GUAZU","LOC DE INMUEBLE P/ PS MINGA GUAZU","No esencial","",""
5000727,"LOC DE INMUEBLE P/ PS BELLA VISTA NORTE","LOC DE INMUEBLE P/ PS BELLA VISTA NORTE","No esencial","",""
5000728,"LOC DE INMUEBLE P/ PS PASO YOBAI","LOC DE INMUEBLE P/ PS PASO YOBAI","No esencial","",""
5000729,"LOC DE INMUEBLE P/ US CAACUPE","LOC DE INMUEBLE P/ US CAACUPE","No esencial","",""
5000730,"LOC DE INMUEBLE P/ PS SALTO DEL GUAIRA","LOC DE INMUEBLE P/ PS SALTO DEL GUAIRA","No esencial","",""
5000731,"LOC DE INMUEBLE P/ PS VILLA HAYES","LOC DE INMUEBLE P/ PS VILLA HAYES","No esencial","",""
5000732,"LOC DE INMUEBLE P/ PS ITAKYRY","LOC DE INMUEBLE P/ PS ITAKYRY","No esencial","",""
5000733,"LOC DE INMUEBLE P/ PS ACAHAY","LOC DE INMUEBLE P/ PS ACAHAY","No esencial","",""
5000734,"LOC DE INMUEBLE P/ PS SAN JUAN NEPOMUCEN","LOC DE INMUEBLE P/ PS SAN JUAN NEPOMUCEN","No esencial","",""
5000735,"LOC DE INMUEBLE P/ PS YBYCUI - PARAGUARI","LOC DE INMUEBLE P/ PS YBYCUI - PARAGUARI","No esencial","",""
5000736,"MP DE PISCINA DE 121M3 PARA ADULTOS","MP DE PISCINA DE 121M3 PARA ADULTOS","No esencial","",""
5000737,"MP DE PISCINA DE 21M3 PARA PEDIATRIA","MP DE PISCINA DE 21M3 PARA PEDIATRIA","No esencial","",""
5000738,"MP DE PISCINA DE 12M3 PARA PEDIATRIA","MP DE PISCINA DE 12M3 PARA PEDIATRIA","No esencial","",""
5000739,"MANT TANQUE HIDROTERAPIA MIEMBROS SUP","MANT TANQUE HIDROTERAPIA MIEMBROS SUP","No esencial","",""
5000740,"MANT TANQUE HIDROTERAPIA  MIEMBROS INF","MANT TANQUE HIDROTERAPIA  MIEMBROS INF","No esencial","",""
5000741,"MANT TANQUE PARA HIDROTERAPIA CORPORAL","MANT TANQUE PARA HIDROTERAPIA CORPORAL","No esencial","",""
5000742,"PROV DRENO PISCINAS CONCRETO 1 1/2","PROV DRENO PISCINAS CONCRETO 1 1/2","No esencial","",""
5000743,"MO DRENO PISCINAS DE CONCRETO DE 1 1/2","MO DRENO PISCINAS DE CONCRETO DE 1 1/2","No esencial","",""
5000744,"PROV DISPOSITIVO DE SKIMMER PARA PISCINA","PROV DISPOSITIVO DE SKIMMER PARA PISCINA","No esencial","",""
5000745,"MO DE DISPOSITIVO SKIMMER PARA PISCINA","MO DE DISPOSITIVO SKIMMER PARA PISCINA","No esencial","",""
5000746,"PROV  DISPOSITIVO RETORNO PARA PISCINAS","PROV  DISPOSITIVO RETORNO PARA PISCINAS","No esencial","",""
5000747,"MO DE DISPOSITIVO RETORNO PARA PISCINAS","MO DE DISPOSITIVO RETORNO PARA PISCINAS","No esencial","",""
5000748,"REM Y COL  AZULEJOS (MEDIDA/COLOR EXIST)","REM Y COL  AZULEJOS (MEDIDA/COLOR EXIST)","No esencial","",""
5000749,"MANO DE OBRA INSTALACION DE AZULEJOS","MANO DE OBRA INSTALACION DE AZULEJOS","No esencial","",""
5000750,"PROV PISO ANTDESLIZANT (MED/COLOR EXIST)","PROV PISO ANTDESLIZANT (MED/COLOR EXIST)","No esencial","",""
5000751,"MO DEMOLICION DE PISO ANTIDESLIZANTE","MO DEMOLICION DE PISO ANTIDESLIZANTE","No esencial","",""
5000752,"MO PISO ANTIDESLIZANTE","MO PISO ANTIDESLIZANTE","No esencial","",""
5000753,"PROVISION Y COLOCACION DE ZOCALO","PROVISION Y COLOCACION DE ZOCALO","No esencial","",""
5000754,"MO INSTALACION PROVISION DE ZOCALOS","MO INSTALACION PROVISION DE ZOCALOS","No esencial","",""
5000755,"PROVISION DE BARANDA DE SEGURIDAD","PROVISION DE BARANDA DE SEGURIDAD","No esencial","",""
5000756,"MO INSTALACION BARANDA ACERO INOXIDABLE","MO INSTALACION BARANDA ACERO INOXIDABLE","No esencial","",""
5000757,"REPARACION DE REJILLA CORRIDA METALICA","REPARACION DE REJILLA CORRIDA METALICA","No esencial","",""
5000758,"MO INSTALACION REJILLA CORRIDA METALICA","MO INSTALACION REJILLA CORRIDA METALICA","No esencial","",""
5000759,"REPARACION DE PISO DE H°A°","REPARACION DE PISO DE H°A°","No esencial","",""
5000760,"MO REPARACION DE PISO DE H°A°","MO REPARACION DE PISO DE H°A°","No esencial","",""
5000761,"REVOQUE DE PARED","REVOQUE DE PARED","No esencial","",""
5000762,"MANO DE OBRA INSTALACION REVOQUE","MANO DE OBRA INSTALACION REVOQUE","No esencial","",""
5000763,"PINTURA INTERIOR LATEX","PINTURA INTERIOR LATEX","No esencial","",""
5000764,"MO INST PINTURA LATEX PARA INTERIOR","MO INST PINTURA LATEX PARA INTERIOR","No esencial","",""
5000765,"PINTURA EXTERIOR LATEX","PINTURA EXTERIOR LATEX","No esencial","",""
5000766,"MO PINTURA LATEX PARA EXTERIOR","MO PINTURA LATEX PARA EXTERIOR","No esencial","",""
5000767,"PROVISION DE ARENA PARA FILTRO D PISCINA","PROVISION DE ARENA PARA FILTRO D PISCINA","No esencial","",""
5000768,"MANO DE OBRA INSTALACION ARENA","MANO DE OBRA INSTALACION ARENA","No esencial","",""
5000769,"PROV CLORADOR SAL COMP EXIS(60MIL L APR)","PROV CLORADOR SAL COMP EXIS(60MIL L APR)","No esencial","",""
5000770,"MO CLORADOR SALINO COMP EX (60MIL L APR)","MO CLORADOR SALINO COMP EX (60MIL L APR)","No esencial","",""
5000771,"PROV CLORADOR SAL COMP EX (120MIL L APR)","PROV CLORADOR SAL COMP EX (120MIL L APR)","No esencial","",""
5000772,"MO CLORADOR SALIN COMP EX (120MIL L APR)","MO CLORADOR SALIN COMP EX (120MIL L APR)","No esencial","",""
5000773,"PROV BOMB CALOR 8,47KW 220V PISCINA 12M3","PROV BOMB CALOR 8,47KW 220V PISCINA 12M3","No esencial","",""
5000774,"MO BOMBA DE CALOR DE 8,47KW 220V","MO BOMBA DE CALOR DE 8,47KW 220V","No esencial","",""
5000775,"PROV BOMB CALOR 11,6KW 220V PISCINA 21M3","PROV BOMB CALOR 11,6KW 220V PISCINA 21M3","No esencial","",""
5000776,"MO BOMBA DE CALOR DE 11,6KW 220V","MO BOMBA DE CALOR DE 11,6KW 220V","No esencial","",""
5000777,"PROV BOMB CALOR 95KW 380V PISCINAS 121M3","PROV BOMB CALOR 95KW 380V PISCINAS 121M3","No esencial","",""
5000778,"MO BOMBA DE CALOR DE 95KW 380V","MO BOMBA DE CALOR DE 95KW 380V","No esencial","",""
5000779,"PROV DISP FILT AREN PISC TP14 BOMB1/4 HP","PROV DISP FILT AREN PISC TP14 BOMB1/4 HP","No esencial","",""
5000780,"PROV DE DISPOSITIVO  BOMBA DE 1/4 HP","PROV DE DISPOSITIVO  BOMBA DE 1/4 HP","No esencial","",""
5000781,"MO DISP FILT ARENA PISC TP14/BOM 1/4 HP","MO DISP FILT ARENA PISC TP14/BOM 1/4 HP","No esencial","",""
5000782,"PROV FILTRO ARENA PISC TP15/ BOM 3/4 HP","PROV FILTRO ARENA PISC TP15/ BOM 3/4 HP","No esencial","",""
5000783,"PROVISION DISPOSITIVO DE BOMBA DE 3/4 HP","PROVISION DISPOSITIVO DE BOMBA DE 3/4 HP","No esencial","",""
5000784,"MO DISPOSIT FILTRO ARENA PISCINAS TP15","MO DISPOSIT FILTRO ARENA PISCINAS TP15","No esencial","",""
5000785,"PROV FIL ARENA PISC TP22/BOMBA 1 1/2 HP","PROV FIL ARENA PISC TP22/BOMBA 1 1/2 HP","No esencial","",""
5000786,"PROV DISPOSITIVO DE BOMBA DE 1 1/2 HP","PROV DISPOSITIVO DE BOMBA DE 1 1/2 HP","No esencial","",""
5000787,"MO FUNCIONAMIENTO DE  BOMBA DE 1 1/2 HP","MO FUNCIONAMIENTO DE  BOMBA DE 1 1/2 HP","No esencial","",""
5000788,"SP INST CODO CU 1/2""","SP INST CODO CU 1/2""","No esencial","",""
5000789,"MO INST CODO CU 1/2""","MO INST CODO CU 1/2""","No esencial","",""
5000790,"SP INST CODO CU 3/4""","SP INST CODO CU 3/4""","No esencial","",""
5000791,"MO INST CODO CU 3/4""","MO INST CODO CU 3/4""","No esencial","",""
5000792,"SP INST CODO CU 5/8""","SP INST CODO CU 5/8""","No esencial","",""
5000793,"MO INST CODO CU 5/8""","MO INST CODO CU 5/8""","No esencial","",""
5000794,"SP INST CODO CU 7/8""","SP INST CODO CU 7/8""","No esencial","",""
5000795,"MO INST CODO CU 7/8""","MO INST CODO CU 7/8""","No esencial","",""
5000796,"SP INST COMPRESOR ALTERNATIVO 12K BTU/H","SP INST COMPRESOR ALTERNATIVO 12K BTU/H","No esencial","",""
5000797,"MO INST COMPRESOR ALTERNATIVO 12K BTU/H","MO INST COMPRESOR ALTERNATIVO 12K BTU/H","No esencial","",""
5000798,"SP INST COMPRESOR ALTERNATIVO 18K BTU/H","SP INST COMPRESOR ALTERNATIVO 18K BTU/H","No esencial","",""
5000799,"MO INST COMPRESOR ALTERNATIVO 18 BTU/H","MO INST COMPRESOR ALTERNATIVO 18 BTU/H","No esencial","",""
5000800,"SP INST COMPRESOR ALTERNATIVO 24K BTU/H","SP INST COMPRESOR ALTERNATIVO 24K BTU/H","No esencial","",""
5000801,"MO INST DE COMPRES ALTERNATIVO 24K BTU/H","MO INST DE COMPRES ALTERNATIVO 24K BTU/H","No esencial","",""
5000802,"SP INST DE COMPRES ALTERNATIVO 36K BTU/H","SP INST DE COMPRES ALTERNATIVO 36K BTU/H","No esencial","",""
5000803,"MO INST COMPRESOR ALTERNATIVO 36K BTU/H","MO INST COMPRESOR ALTERNATIVO 36K BTU/H","No esencial","",""
